#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   164    0.47049E+04   -0.42233E+02    0.12001E-05   -0.42233E+02    0.92437E+00   -0.41690E-08    0.12001E-05   -0.41690E-08    0.22999E-11
   165    0.47331E+04   -0.41899E+02    0.11818E-05   -0.41899E+02    0.91492E+00   -0.41329E-08    0.11818E-05   -0.41329E-08    0.22587E-11
   166    0.47611E+04   -0.41540E+02    0.11638E-05   -0.41540E+02    0.90534E+00   -0.40973E-08    0.11638E-05   -0.40973E-08    0.22185E-11
   167    0.47888E+04   -0.41156E+02    0.11462E-05   -0.41156E+02    0.89540E+00   -0.40617E-08    0.11462E-05   -0.40617E-08    0.21792E-11
   168    0.48160E+04   -0.40745E+02    0.11290E-05   -0.40745E+02    0.88548E+00   -0.40258E-08    0.11290E-05   -0.40258E-08    0.21408E-11
   169    0.48429E+04   -0.40307E+02    0.11121E-05   -0.40307E+02    0.87528E+00   -0.39891E-08    0.11121E-05   -0.39891E-08    0.21033E-11
   170    0.48696E+04   -0.39844E+02    0.10955E-05   -0.39844E+02    0.86502E+00   -0.39509E-08    0.10955E-05   -0.39509E-08    0.20666E-11
   171    0.48958E+04   -0.39352E+02    0.10792E-05   -0.39352E+02    0.85470E+00   -0.39109E-08    0.10792E-05   -0.39109E-08    0.20308E-11
   172    0.49215E+04   -0.38834E+02    0.10632E-05   -0.38834E+02    0.84425E+00   -0.38686E-08    0.10632E-05   -0.38686E-08    0.19958E-11
   173    0.49469E+04   -0.38290E+02    0.10476E-05   -0.38290E+02    0.83366E+00   -0.38235E-08    0.10476E-05   -0.38235E-08    0.19615E-11
   174    0.49719E+04   -0.37720E+02    0.10323E-05   -0.37720E+02    0.82324E+00   -0.37751E-08    0.10323E-05   -0.37751E-08    0.19280E-11
   175    0.49966E+04   -0.37122E+02    0.10172E-05   -0.37122E+02    0.81269E+00   -0.37230E-08    0.10172E-05   -0.37230E-08    0.18952E-11
   176    0.50207E+04   -0.36497E+02    0.10025E-05   -0.36497E+02    0.80222E+00   -0.36666E-08    0.10025E-05   -0.36666E-08    0.18631E-11
   177    0.50444E+04   -0.35847E+02    0.98803E-06   -0.35847E+02    0.79177E+00   -0.36063E-08    0.98803E-06   -0.36063E-08    0.18316E-11
